a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19
13,top,attachment,MPUI_HOLO,holo,,cac_mods_holographic,MPUI_HOLO_DESC,holo,16,,dualclip extbarrel extclip fastads fmj gl grip rf sf silencer stalker steadyaim,10000,,,,,,0,
14,bottom,attachment,MPUI_IR,ir,,cac_mods_dual_band,MPUI_IR_DESC,ir,17,,dualclip extbarrel extclip fastads fmj gl grip rf sf silencer stackfire stalker steadyaim swayreduc vzoom,1,,,,,,0,
15,bottom,attachment,MPUI_IS,is,,cac_mods_ironsight,MPUI_IS_DESC,is,18,,dualclip extbarrel extclip fastads fmj gl grip rf sf silencer stalker steadyaim,1,,,,,,0,
16,gunperk,attachment,MPUI_LONGBREATH,longbreath,,cac_mods_ballistics_cpu,MPUI_LONGBREATH_DESC,longbreath,19,,dualclip extbarrel extclip fastads fmj gl grip rf sf silencer stalker steadyaim,-1,,,,,,0,
17,bottom,attachment,MPUI_MK,mk,,cac_mods_trigger_group,MPUI_MK_DESC,MK,21,,,-1,,,,,,0,
18,top,attachment,MPUI_MMS,mms,,cac_mods_mms,MPUI_MMS_DESC,mms,22,,dualclip extbarrel extclip fastads gl grip rf sf silencer stalker steadyaim,1,,,,,,0,
19,top,attachment,MPUI_RANGEFINDER,rangefinder,,cac_mods_rangefinder,MPUI_RANGEFINDER_DESC,RANGEFINDER,23,,dualclip extbarrel extclip fastads fmj gl grip rf sf silencer stalker steadyaim,1,,,,,,0,
20,top,attachment,MPUI_REFLEX,reflex,,cac_mods_red_dot,MPUI_REFLEX_DESC,REFLEX,24,,dualclip extbarrel extclip fastads fmj gl grip rf sf silencer stackfire stalker steadyaim tacknife,1,,,,,,0,
21,muzzle,attachment,MPUI_RF,rf,,cac_mods_rapid_fire,MPUI_RF_DESC,RF,25,,acog dualclip dualoptic extbarrel extclip fastads fmj gl grip holo ir is mms rangefinder reflex silencer sf stalker steadyaim swayreduc vzoom longbreath,1,,,,,,0,
22,bottom,attachment,MPUI_SF,sf,,cac_mods_trigger_group,MPUI_SF_DESC,sf,26,,acog dualclip extbarrel extclip fastads fmj grip holo ir is mms rangefinder reflex rf silencer stalker steadyaim swayreduc vzoom longbreath,1,,,,,,0,
23,muzzle,attachment,MPUI_SILENCER,silencer,,cac_mods_suppressor,MPUI_SILENCER_DESC,SILENCER,27,,acog dualclip dualoptic extclip fastads fmj gl grip holo ir is mms rangefinder reflex rf sf stalker steadyaim swayreduc tacknife vzoom longbreath,1,,,,,,0,
24,trigger,attachment,MPUI_STACKFIRE,stackfire,,cac_mods_tribolt,MPUI_STACKFIRE_DESC,STACKFIRE,28,,acog ir reflex vzoom,1,,,,,,0,
25,gunperk,attachment,MPUI_STALKER,stalker,,cac_mods_extended_stock,MPUI_STALKER_DESC,stalker,29,,acog dualclip dualoptic extbarrel extclip fastads fmj gl grip holo ir is mms rangefinder reflex rf silencer sf steadyaim swayreduc vzoom longbreath,1,,,,,,0,
26,gunperk,attachment,MPUI_STEADYAIM,steadyaim,,cac_mods_laser,MPUI_STEADYAIM_DESC,steadyaim,30,,acog dualclip dualoptic extbarrel extclip fastads fmj gl grip holo ir is mms rangefinder reflex rf silencer sf stalker swayreduc tacknife vzoom longbreath,1,,,,,,0,
27,gunperk,attachment,MPUI_SWAYREDUC,swayreduc,,cac_mods_bors,MPUI_SWAYREDUC_DESC,swayreduc,31,,dualclip extbarrel extclip fastads fmj gl grip ir rf silencer sf stalker steadyaim vzoom,1,,,,,,0,
28,top,attachment,MPUI_TACKNIFE,tacknife,,cac_mods_tact_knife,MPUI_TACKNIFE_DESC,tacknife,32,,dualclip extbarrel extclip fmj reflex silencer steadyaim,1,,,,,,0,
29,top,attachment,MPUI_VZOOM,vzoom,,cac_mods_var_zoom,MPUI_VZOOM_DESC,VZOOM,33,,dualclip extbarrel extclip fastads fmj gl grip ir rf sf silencer stackfire stalker steadyaim swayreduc,1,,,,,,0,
0,camo,weaponoption,MPUI_NONE,camo_none,,menu_theater_nodata,MPUI_NONE,,0,,,,,,1000,,,0,
1,camo,weaponoption,MPUI_MULTICAM,camo_multicam,,menu_camo_multicam_pattern,MPUI_MULTICAM,,0,,,,,,1000,,,0,
2,camo,weaponoption,MPUI_ATACS,camo_atacs,,menu_camo_atacs_pattern,MPUI_ATACS,,0,,,,,,1000,,,0,
3,camo,weaponoption,MPUI_ERDL,camo_erdl,,menu_camo_erdl_pattern,MPUI_ERDL,,0,,,,,,1000,,,0,
4,camo,weaponoption,MPUI_SIBERIA,camo_siberia,,menu_camo_siberia_pattern,MPUI_SIBERIA,,0,,,,,,1000,,,0,
5,camo,weaponoption,MPUI_CHOCO,camo_choco,,menu_camo_choco_pattern,MPUI_CHOCO,,0,,,,,,1000,,,0,
6,camo,weaponoption,MPUI_TIGER_BLUE,camo_tiger_blue,,menu_camo_tiger_blue_pattern,MPUI_TIGER_BLUE,,0,,,,,,1000,,,0,
7,camo,weaponoption,MPUI_MATUKA,camo_matuka,,menu_camo_matuka_pattern,MPUI_MATUKA,,0,,,,,,1000,,,0,
8,camo,weaponoption,MPUI_GHOSTEX,camo_ghostex,,menu_camo_ghostex_pattern,MPUI_GHOSTEX,,0,,,,,,1000,,,0,
9,camo,weaponoption,MPUI_KRYPTEK,camo_kryptek,,menu_camo_kryptek_pattern,MPUI_KRYPTEK,,0,,,,,,1000,,,0,
10,camo,weaponoption,MPUI_CARBON,camo_carbon,,menu_camo_carbon_pattern,MPUI_CARBON,,0,,,,,,1000,,,0,
11,camo,weaponoption,MPUI_BLOSSOM,camo_blossom,,menu_camo_blossom_pattern,MPUI_BLOSSOM,,0,,,,,,1000,,,0,
12,camo,weaponoption,MPUI_ARTOFWAR,camo_artofwar,,menu_camo_artofwar_pattern,MPUI_ARTOFWAR,,0,,,,,,1000,,,0,
13,camo,weaponoption,MPUI_RONIN,camo_ronin,,menu_camo_ronin_pattern,MPUI_RONIN,,0,,,,,,1000,,,0,
14,camo,weaponoption,MPUI_SKULLS,camo_skulls,,menu_camo_skulls_pattern,MPUI_SKULLS,,0,,,,,,1000,,,0,
15,camo,weaponoption,MPUI_GOLD,camo_gold,,menu_camo_gold_pattern,MPUI_GOLD,,1,,,,,,0,,,0,
16,camo,weaponoption,MPUI_DIAMOND,camo_diamond,,menu_camo_diamond_pattern,MPUI_DIAMOND,,2,,,,,,0,,,0,
17,camo,weaponoption,MENU_DIGITAL_UNLOCK_ELITE_MEMBER_EM,camo_elite1,,menu_camo_bo2_elite_pattern,MENU_DIGITAL_UNLOCK_ELITE_MEMBER_EM_DESC,,0,,,,,,0,,,0,
18,camo,weaponoption,MENU_DIGITAL_UNLOCK_CE_CAMO,camo_collectors,,menu_camo_bo2_collectors_pattern,MENU_DIGITAL_UNLOCK_CE_CAMO_DESC,,2,,,,,,0,,,0,
19,lens,weaponoption,MPUI_LENS_DEFAULT,lens_default,,,,,,,,,,,,,,0,
20,lens,weaponoption,MPUI_LENS_RED,lens_red,,,,,,,,,,,,,,0,
21,lens,weaponoption,MPUI_LENS_BLUE,lens_blue,,,,,,,,,,,,,,0,
22,lens,weaponoption,MPUI_LENS_GREEN,lens_green,,,,,,,,,,,,,,0,
23,lens,weaponoption,MPUI_LENS_ORANGE,lens_orange,,,,,,,,,,,,,,0,
24,lens,weaponoption,MPUI_LENS_YELLOW,lens_yellow,,,,,,,,,,,,,,0,
25,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_0,,,,,,,,,,,1000,,,0,
26,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_1,,,,,,,,,,,1000,,,0,
27,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_2,,,,,,,,,,,1000,,,0,
28,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_3,,,,,,,,,,,1000,,,0,
29,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_4,,,,,,,,,,,1000,,,0,
30,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_5,,,,,,,,,,,1000,,,0,
31,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_6,,,,,,,,,,,1000,,,0,
32,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_7,,,,,,,,,,,1000,,,0,
33,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_8,,,,,,,,,,,1000,,,0,
34,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_9,,,,,,,,,,,1000,,,0,
35,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_10,,,,,,,,,,,1000,,,0,
36,reticle_color,weaponoption,MPUI_RETICLE_COLOR_1,reticle_color_1,,,,,,,,,,,,,,0,
37,reticle_color,weaponoption,MPUI_RETICLE_COLOR_2,reticle_color_2,,,,,,,,,,,,,,0,
38,reticle_color,weaponoption,MPUI_RETICLE_COLOR_3,reticle_color_3,,,,,,,,,,,,,,0,
39,reticle_color,weaponoption,MPUI_RETICLE_COLOR_4,reticle_color_4,,,,,,,,,,,,,,0,
40,reticle_color,weaponoption,MPUI_RETICLE_COLOR_5,reticle_color_5,,,,,,,,,,,,,,0,
41,reticle_color,weaponoption,MPUI_RETICLE_COLOR_6,reticle_color_6,,,,,,,,,,,,,,0,
42,reticle_color,weaponoption,MPUI_RETICLE_COLOR_7,reticle_color_7,,,,,,,,,,,,,,0,
43,tag,weaponoption,FEATURE_GUN_TAG,tag,,,,,,,,,,1,,,,0,
44,emblem,weaponoption,FEATURE_GUN_EMBLEM,emblem,,,,,,,,,,2,,,,0,
45,camo,weaponoption,MPUI_MTP,camo_mtp,,menu_camo_mtx_mil,,,0,,,,,,0,mtx_weapon0,,0,
46,camo,weaponoption,MPUI_UKPUNK,camo_ukpunk,,menu_camo_mtx_punk,,,0,,,,,,0,mtx_weapon1,,0,
47,camo,weaponoption,MPUI_BENJAMINS,camo_benjamins,,menu_camo_mtx_ben,,,0,,,,,,0,mtx_weapon2,,0,
48,camo,weaponoption,MPUI_DAYOFDEAD,camo_dayofdead,,menu_camo_mtx_dayofdead,,,0,,,,,,0,mtx_weapon3,,0,
49,camo,weaponoption,MPUI_GRAFFITI,camo_graffiti,,menu_camo_mtx_graf,,,0,,,,,,0,mtx_weapon4,,0,
50,camo,weaponoption,MPUI_KAWAII,camo_kawaii,,menu_camo_mtx_kawaii,,,0,,,,,,0,mtx_weapon5,,0,
51,camo,weaponoption,MPUI_PARTYROCK,camo_partyrock,,menu_camo_mtx_partyrock,,,0,,,,,,0,mtx_weapon6,,0,
52,camo,weaponoption,MPUI_ZOMBIES,camo_zombies,,menu_camo_mtx_zombies,,,0,,,,,,0,mtx_weapon7,,0,
53,camo,weaponoption,MPUI_SNAKE,camo_snake,,menu_camo_mtx_snake,,,0,,,,,,0,mtx_weapon8,,0,
54,camo,weaponoption,MPUI_BACON,camo_bacon,,menu_camo_mtx_bacon,,,0,,,,,,0,mtx_weapon9,,0,
55,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_11,,,,,,,,,,,0,mtx_weapon0,,0,
56,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_12,,,,,,,,,,,0,mtx_weapon1,,0,
57,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_13,,,,,,,,,,,0,mtx_weapon2,,0,
58,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_14,,,,,,,,,,,0,mtx_weapon3,,0,
59,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_15,,,,,,,,,,,0,mtx_weapon4,,0,
60,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_16,,,,,,,,,,,0,mtx_weapon5,,0,
61,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_17,,,,,,,,,,,0,mtx_weapon6,,0,
62,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_18,,,,,,,,,,,0,mtx_weapon7,,0,
63,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_19,,,,,,,,,,,0,mtx_weapon8,,0,
64,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_20,,,,,,,,,,,0,mtx_weapon9,,0,
65,camo,weaponoption,MPUI_DIGITAL_UNLOCK_IW_GHOST,camo_ghost,,menu_camo_mtx_ghost_128,,,2,,,,,,0,,,0,
66,camo,weaponoption,MPUI_ARMOR,camo_armor,,menu_camo_mtx_armor,,,0,,,,,,0,mtx_weapon10,,0,
67,camo,weaponoption,MPUI_CYBERTRON,camo_cybertron,,menu_camo_mtx_cybertron,,,0,,,,,,0,mtx_weapon11,,0,
68,camo,weaponoption,MPUI_MULTICAM,camo_multicam,,menu_camo_multicam_pattern,,,0,,,,,,0,mtx_weapon12,,0,
69,camo,weaponoption,MPUI_MULTICAM,camo_multicam,,menu_camo_multicam_pattern,,,0,,,,,,0,mtx_weapon13,,0,
70,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_21,,,,,,,,,,,0,mtx_weapon10,,0,
71,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_22,,,,,,,,,,,0,mtx_weapon11,,0,
72,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_23,,,,,,,,,,,0,mtx_weapon12,,0,
73,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_24,,,,,,,,,,,0,mtx_weapon13,,0,
74,camo,weaponoption,MPUI_AQUA,camo_aqua,,menu_camo_mtx_aqua,,,0,,,,,,0,mtx_weapon14,,0,
75,camo,weaponoption,MPUI_BREACH,camo_breach,,menu_camo_mtx_breach,,,0,,,,,,0,mtx_weapon15,,0,
76,camo,weaponoption,MPUI_DCOYOTE,camo_dcoyote,,menu_camo_mtx_dcoyote,,,0,,,,,,0,mtx_weapon16,,0,
77,camo,weaponoption,MPUI_ZULU,camo_zulu,,menu_camo_mtx_zulu,,,0,,,,,,0,mtx_weapon17,,0,
78,camo,weaponoption,MPUI_MASSACRE,camo_massacre,,menu_camo_mtx_massacre,,,0,,,,,,0,mtx_weapon18,,0,
79,camo,weaponoption,MPUI_PAP,camo_pap,,menu_camo_mtx_pap,,,0,,,,,,0,mtx_weapon19,,0,
80,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_25,,,,,,,,,,,0,mtx_weapon14,,0,
81,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_26,,,,,,,,,,,0,mtx_weapon15,,0,
82,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_27,,,,,,,,,,,0,mtx_weapon16,,0,
83,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_28,,,,,,,,,,,0,mtx_weapon17,,0,
84,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_29,,,,,,,,,,,0,mtx_weapon18,,0,
85,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_30,,,,,,,,,,,0,mtx_weapon19,,0,
86,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_31,,,,,2,,,,,,0,,,0,
